date,value_mei_v2,type_ENSO
2006-01-01,-0.68,niña
2006-02-01,-0.5,neutro
2006-03-01,-0.62,niña
2006-04-01,-0.84,niña
2006-05-01,-0.43,neutro
2006-06-01,-0.23,neutro
2006-07-01,0.11,neutro
2006-08-01,0.56,niño
2006-09-01,0.63,niño
2006-10-01,0.68,niño
2006-11-01,0.9,niño
2006-12-01,0.59,niño
2007-01-01,0.62,niño
2007-02-01,0.39,neutro
2007-03-01,-0.22,neutro
2007-04-01,-0.36,neutro
2007-05-01,-0.44,neutro
2007-06-01,-0.86,niña
2007-07-01,-0.77,niña
2007-08-01,-0.94,niña
2007-09-01,-1.1,niña
2007-10-01,-1.14,niña
2007-11-01,-1.12,niña
2007-12-01,-1.21,niña
2008-01-01,-1.08,niña
2008-02-01,-1.27,niña
2008-03-01,-1.53,niña
2008-04-01,-1.13,niña
2008-05-01,-0.98,niña
2008-06-01,-0.86,niña
2008-07-01,-0.87,niña
2008-08-01,-1.08,niña
2008-09-01,-1.07,niña
2008-10-01,-1.12,niña
2008-11-01,-1.04,niña
2008-12-01,-1.05,niña
2009-01-01,-1.0,niña
2009-02-01,-0.84,niña
2009-03-01,-0.93,niña
2009-04-01,-0.81,niña
2009-05-01,-0.72,niña
2009-06-01,-0.06,neutro
2009-07-01,0.49,neutro
2009-08-01,0.52,niño
2009-09-01,0.39,neutro
2009-10-01,0.56,niño
2009-11-01,1.05,niño
2009-12-01,0.96,niño
2010-01-01,0.94,niño
2010-02-01,1.28,niño
2010-03-01,1.31,niño
2010-04-01,0.49,neutro
2010-05-01,-0.17,neutro
2010-06-01,-1.33,niña
2010-07-01,-2.43,niña
2010-08-01,-2.4,niña
2010-09-01,-2.28,niña
2010-10-01,-2.18,niña
2010-11-01,-2.03,niña
2010-12-01,-1.91,niña
2011-01-01,-1.83,niña
2011-02-01,-1.63,niña
2011-03-01,-1.79,niña
2011-04-01,-1.73,niña
2011-05-01,-1.29,niña
2011-06-01,-1.08,niña
2011-07-01,-0.86,niña
2011-08-01,-0.88,niña
2011-09-01,-1.16,niña
2011-10-01,-1.37,niña
2011-11-01,-1.21,niña
2011-12-01,-1.24,niña
2012-01-01,-1.08,niña
2012-02-01,-0.67,niña
2012-03-01,-0.59,niña
2012-04-01,-0.43,neutro
2012-05-01,-0.36,neutro
2012-06-01,-0.28,neutro
2012-07-01,0.3,neutro
2012-08-01,-0.06,neutro
2012-09-01,-0.32,neutro
2012-10-01,-0.22,neutro
2012-11-01,-0.07,neutro
2012-12-01,-0.06,neutro
2013-01-01,-0.05,neutro
2013-02-01,-0.07,neutro
2013-03-01,-0.14,neutro
2013-04-01,-0.36,neutro
2013-05-01,-0.71,niña
2013-06-01,-1.18,niña
2013-07-01,-0.85,niña
2013-08-01,-0.5,neutro
2013-09-01,-0.38,neutro
2013-10-01,-0.16,neutro
2013-11-01,-0.17,neutro
2013-12-01,-0.35,neutro
2014-01-01,-0.51,niña
2014-02-01,-0.43,neutro
2014-03-01,-0.07,neutro
2014-04-01,-0.16,neutro
2014-05-01,-0.18,neutro
2014-06-01,-0.01,neutro
2014-07-01,0.31,neutro
2014-08-01,0.15,neutro
2014-09-01,-0.15,neutro
2014-10-01,0.06,neutro
2014-11-01,0.34,neutro
2014-12-01,0.34,neutro
2015-01-01,0.23,neutro
2015-02-01,0.05,neutro
2015-03-01,0.13,neutro
2015-04-01,0.35,neutro
2015-05-01,0.96,niño
2015-06-01,1.85,niño
2015-07-01,1.72,niño
2015-08-01,1.91,niño
2015-09-01,2.21,niño
2015-10-01,2.11,niño
2015-11-01,1.88,niño
2015-12-01,1.9,niño
